UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference,Average Temperature,Power,Downtime_Hours,Maintenance_Cost
1,M14860,2,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,303.35,66382.79999999999,0.23,0.0
2,L47181,1,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,303.45,65190.399999999994,0.07,291.35
3,L47182,1,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,303.3,74001.2,0.25,469.27
4,L47183,1,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,303.4,56603.5,0.05,420.45
5,L47184,1,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,303.45,56320.0,0.11,306.73
6,M14865,2,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,303.35,59707.5,0.12,240.59
7,L47186,1,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,303.35,66059.2,0.09,353.67
8,L47187,1,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,303.35,61385.4,0.0,0.0
9,M14868,2,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,303.5,47676.200000000004,0.07,100.69
10,M14869,2,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,303.75,48748.0,0.1,195.36
11,H29424,0,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,303.65,42589.799999999996,0.09,415.33
12,H29425,0,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,303.85,63038.899999999994,0.24,256.62
13,M14872,2,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,303.85,68422.90000000001,0.01,35.69
14,M14873,2,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,303.9,52260.0,0.12,340.48
15,L47194,1,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,303.9,39886.0,0.01,317.63
16,L47195,1,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,303.9,74632.8,0.28,384.54
17,M14876,2,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,303.9,61092.6,0.24,560.56
18,M14877,2,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,303.95,64296.0,0.29,730.26
19,H29432,0,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,304.0,71177.0,0.27,700.07
20,M14879,2,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,304.1,53040.0,0.09,417.99
21,H29434,0,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,304.1,58712.50000000001,0.21,486.41
22,L47201,1,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,304.05,64959.99999999999,0.09,665.34
